turn_deg,speed,a_lat,gates_seq_mean,gates_seq_spread,gates_flown_mean,gates_flown_spread,fit_seq_spread,fit_flown_spread,tracking_err,clip_lo
60.0,2.0,1.6723314837397838,14.0,0.0,15.0,0.0,0.00020096412998782398,0.00020096413000203484,0.070768152753859,0.0004901560787946116
60.0,2.5,2.613017943343412,14.0,0.0,15.0,0.0,0.00021033775946932565,0.0002103377594551148,0.09778069610153399,0.0005914827303042091
60.0,3.0,3.7627458384145136,14.0,0.0,15.0,0.0,0.0001826239221003334,0.00018262392211454426,0.1299040695932291,0.0006854010132253291
60.0,3.5,5.121515168953088,14.0,0.0,15.0,0.0,0.00041484756096110686,0.000539132920110319,0.17465802223270335,0.0007721014793808442
60.0,4.0,6.689325934959135,14.0,0.0,15.0,0.0,0.00011699066605785902,0.0003038859230457547,0.2520624235607743,0.0008503803924785509
90.0,2.0,2.3639542661103516,14.0,0.0,15.0,0.0,0.0003887782697802322,0.00038877826973759966,0.07543680759577698,0.0007379473835672443
90.0,2.5,3.693678540797425,14.0,0.0,15.0,0.0,0.00046104327070395357,0.0004610432707181644,0.11098379869020804,0.0008899443153550585
90.0,3.0,5.318897098748292,14.0,0.0,15.0,0.0,0.0005332927433556733,0.0005332927433556733,0.15599086392713277,0.001029906707854417
90.0,3.5,7.2396099399629525,14.0,0.0,15.0,0.0,0.0028323536693477536,0.0027080683101701197,0.2366576738908648,0.0011530086663421608
90.0,4.0,9.455817064441407,3.888888888888889,0.3333333333333335,13.222222222222223,2.0,2.243322066989194,13.352018644052421,0.6683949177071526,0.0849372232915276
120.0,2.0,2.893273952381309,14.0,0.0,15.0,0.0,0.0007548497472953386,0.0007548497472953386,0.08033378977778426,0.0007417796575566863
120.0,2.5,4.520740550595796,14.0,0.0,15.0,0.0,0.001242582349021859,0.0009588944057554727,0.12260983509508755,0.0008951980792209925
120.0,3.0,6.509866392857945,14.0,0.0,15.0,0.0,0.002117099113533527,0.0016775773132309268,0.18149591279220104,0.0010365168475083878
120.0,3.5,8.860651479167759,9.111111111111112,3.666666666666667,15.0,0.0,24.4605778202615,0.01650623189462408,0.31821208471404866,0.0011545441574968027
120.0,4.0,11.573095809525237,2.6666666666666665,0.0,9.0,2.333333333333334,0.038059565135114326,15.57278822646608,1.5877306678088345,0.1275352733686067
