omega_n,zeta,max_speed,tracking_err,saturation_lo,n_rollouts,monotone
2.0,0.7,4.625,0.4962279954159431,0.0014292520247737017,7,1
3.78,0.7,4.125,0.8637877399229121,0.22015570934256054,7,1
5.0,0.7,3.375,0.30535280820292454,0.002973977695167286,7,1
7.0,0.7,nan,16.705866036984002,0.15259009009009009,1,1
9.0,0.7,nan,20.762249861780877,0.09121621621621621,1,1
12.0,0.7,nan,42.559508488353714,0.07136824324324324,1,1
2.0,1.19,5.0,0.583630437135061,0.13082706766917293,7,1
3.78,1.19,3.875,0.37299897311641217,0.0012626262626262627,7,1
5.0,1.19,3.75,0.35596834410920186,0.0007971303308090873,7,1
7.0,1.19,3.25,0.3312444106624486,0.018950437317784258,7,1
9.0,1.19,nan,1.3653636849807769,0.08234797297297297,1,1
12.0,1.19,nan,22.479794583020105,0.11782094594594594,1,1
2.0,1.6,4.75,0.59029766707725,0.16102514506769827,7,1
3.78,1.6,4.0,0.450484145691126,0.061268209083119106,7,1
5.0,1.6,3.75,0.2643303311787061,0.0008173273395995096,7,1
7.0,1.6,3.875,0.3244610405025999,0.004528612597776863,7,1
9.0,1.6,nan,3.1692317661974174,0.17708333333333334,1,1
12.0,1.6,nan,1.178549876199545,0.1143018018018018,1,1
