omega_n,zeta,max_speed,tracking_err,saturation_lo,n_rollouts,monotone
0.8,1.0,3.25,0.7633347360525384,0.0010744985673352436,7,1
1.2,1.0,4.5,0.5165603033379548,0.0014012143858010276,7,1
1.6,1.0,5.125,0.5633052944904788,0.019948849104859334,7,1
2.0,1.0,4.875,0.5347918446089636,0.021255561047948592,7,1
2.6,1.0,4.75,0.5715286581511845,0.14610546686018383,7,1
3.2,1.0,4.5,0.703062781789073,0.21961325966850828,7,1
0.8,1.19,3.25,0.7705678087528725,0.0010741138560687433,7,1
1.2,1.19,4.75,0.5374238632478501,0.0014577259475218659,7,1
1.6,1.19,5.125,0.5848048604473027,0.03936605316973415,7,1
2.0,1.19,5.0,0.583630437135061,0.13082706766917293,7,1
2.6,1.19,4.625,0.5761365256328178,0.16413662239089183,7,1
3.2,1.19,4.25,0.5286530236524964,0.1557743957027753,7,1
0.8,1.4,3.25,0.7818342437366742,0.001073345259391771,7,1
1.2,1.4,5.0,0.5825309376654876,0.011586901763224182,7,1
1.6,1.4,5.125,0.6166373345060332,0.12010178117048347,7,1
2.0,1.4,4.875,0.5893816263093387,0.15059055118110237,7,1
2.6,1.4,4.5,0.5679595511155521,0.17411545623836128,7,1
3.2,1.4,4.125,0.4596019825481709,0.043039086517347384,7,1
