turn_deg,key,label,axial_thrust,max_speed,bracket,monotone,n_rollouts,tracking_err,saturation_lo,alpha_roll,alpha_pitch,note
60.0,symmetric,symmetric X quad (swept family),1,10.203125,ok,1,10,0.6265192069300327,0.1691119691119691,159.93381326376127,158.94283955634995,both mirror planes intact; products of inertia identically zero
60.0,azimuth,arm 0 azimuth +30 deg,1,9.1484375,ok,1,10,0.5422462307747264,0.15306122448979592,146.36417476519952,180.57287974468542,breaks the mirror plane containing z; rotors stay coplanar
60.0,length,arm 0 lengthened to 0.26 m,1,9.8515625,ok,1,10,0.5990222351374324,0.16376042456406367,148.05916733823415,147.28237038099255,"an arm at 45 deg loads Ixx and Iyy equally, so it grows Ixy while leaving Ixx - Iyy unchanged"
60.0,elevation,arm 0 elevated 15 deg (out of plane),1,9.96875,ok,1,10,0.5958380429169357,0.17570664629488159,156.95455385105168,155.98256329588648,lifts the rotor out of plane with every thrust axis still along body z (motor_pitch=0). Before the 2026-09-11 decoder fix it decoded with an 11.37 deg spurious tilt; see docs/decoder_thrust_composition.md
90.0,symmetric,symmetric X quad (swept family),1,8.25,ok,1,10,0.5364905110369724,0.20608575380359612,159.93381326376127,158.94283955634995,both mirror planes intact; products of inertia identically zero
90.0,azimuth,arm 0 azimuth +30 deg,1,7.2734375,ok,1,10,0.4364505529753927,0.1662387676508344,146.36417476519952,180.57287974468542,breaks the mirror plane containing z; rotors stay coplanar
90.0,length,arm 0 lengthened to 0.26 m,1,7.9765625,ok,1,10,0.5017003285314954,0.203125,148.05916733823415,147.28237038099255,"an arm at 45 deg loads Ixx and Iyy equally, so it grows Ixy while leaving Ixx - Iyy unchanged"
90.0,elevation,arm 0 elevated 15 deg (out of plane),1,7.8203125,ok,1,10,0.4922411592965348,0.20053475935828877,156.95455385105168,155.98256329588648,lifts the rotor out of plane with every thrust axis still along body z (motor_pitch=0). Before the 2026-09-11 decoder fix it decoded with an 11.37 deg spurious tilt; see docs/decoder_thrust_composition.md
120.0,symmetric,symmetric X quad (swept family),1,6.6875,ok,1,10,0.456468680717696,0.1744186046511628,159.93381326376127,158.94283955634995,both mirror planes intact; products of inertia identically zero
120.0,azimuth,arm 0 azimuth +30 deg,1,5.984375,ok,1,10,0.37756582265924143,0.028538812785388126,146.36417476519952,180.57287974468542,breaks the mirror plane containing z; rotors stay coplanar
120.0,length,arm 0 lengthened to 0.26 m,1,6.609375,ok,1,10,0.6476340494076975,0.1802600472813239,148.05916733823415,147.28237038099255,"an arm at 45 deg loads Ixx and Iyy equally, so it grows Ixy while leaving Ixx - Iyy unchanged"
120.0,elevation,arm 0 elevated 15 deg (out of plane),1,6.5703125,ok,1,10,0.45215992132146227,0.1735985533453888,156.95455385105168,155.98256329588648,lifts the rotor out of plane with every thrust axis still along body z (motor_pitch=0). Before the 2026-09-11 decoder fix it decoded with an 11.37 deg spurious tilt; see docs/decoder_thrust_composition.md
