turn_deg,half_angle_deg,max_speed,n_rollouts,bracket,monotone,a_lat_at_limit,tracking_err,saturation_lo,saturation_hi,alpha_roll,alpha_pitch,maneuverability_I
60.0,20.441448632198465,4.6875,8,ok,1,9.155273437499998,0.5919325107016807,0.15274463007159905,0.0,313.2869850093437,120.82495119552384,41.36825616063389
60.0,28.627632421465645,4.625,8,ok,1,8.912760416666666,0.5772926259768544,0.15460992907801419,0.0,233.06414540558657,128.80962653396494,41.36825616063388
60.0,36.813816210732824,4.625,8,ok,1,8.912760416666666,0.5777044077902334,0.17911153119092627,0.0,187.93079126281688,140.9096570784202,41.36825616063389
60.0,45.0,4.625,8,ok,1,8.912760416666666,0.577226450227869,0.20236406619385341,0.0,159.93381326376127,158.94283955634995,41.368256160634246
60.0,53.18618378926718,4.625,8,ok,1,8.912760416666666,0.5770540417336129,0.20056764427625354,0.0,141.5966482024075,186.31999947958695,41.36825616063379
60.0,61.37236757853435,4.6875,8,ok,1,9.155273437499998,0.5927681743222124,0.18454935622317598,0.0,129.332806449886,229.98030420620708,41.368256160633905
60.0,69.55855136780154,4.6875,8,ok,1,9.155273437499998,0.5895879391714638,0.15990453460620524,0.0,121.25594620946585,305.72726035867043,41.36825616063389
90.0,20.441448632198465,4.0625,8,ok,1,9.725020021201704,0.7063828484306846,0.1916809605488851,0.0,313.2869850093437,120.82495119552384,41.36825616063389
90.0,28.627632421465645,4.0,8,ok,1,9.428090415820634,0.5994607582660499,0.11510791366906475,0.0,233.06414540558657,128.80962653396494,41.36825616063388
90.0,36.813816210732824,3.9375,8,ok,1,9.135764370212915,0.4100751407147928,0.009361702127659575,0.0,187.93079126281688,140.9096570784202,41.36825616063389
90.0,45.0,3.9375,8,ok,1,9.135764370212915,0.4142663796955382,0.009361702127659575,0.0,159.93381326376127,158.94283955634995,41.368256160634246
90.0,53.18618378926718,3.9375,8,ok,1,9.135764370212915,0.41961659079912,0.012340425531914894,0.0,141.5966482024075,186.31999947958695,41.36825616063379
90.0,61.37236757853435,3.9375,8,ok,1,9.135764370212915,0.42602313338625825,0.01786473840918758,0.0,129.332806449886,229.98030420620708,41.368256160633905
90.0,69.55855136780154,3.9375,8,ok,1,9.135764370212915,0.43667006842238365,0.050595238095238096,0.0,121.25594620946585,305.72726035867043,41.36825616063389
120.0,20.441448632198465,3.8125,8,ok,1,10.489845467063464,0.7869623994370009,0.17796958487464037,0.0,313.2869850093437,120.82495119552384,41.36825616063389
120.0,28.627632421465645,3.6875,8,ok,1,9.813263120356872,0.4341883085250924,0.008529650690495532,0.0,233.06414540558657,128.80962653396494,41.36825616063388
120.0,36.813816210732824,3.6875,8,ok,1,9.813263120356872,0.4417331074539081,0.008529650690495532,0.0,187.93079126281688,140.9096570784202,41.36825616063389
120.0,45.0,3.6875,8,ok,1,9.813263120356872,0.45158922629855636,0.007714169711733658,0.0,159.93381326376127,158.94283955634995,41.368256160634246
120.0,53.18618378926718,3.6875,8,ok,1,9.813263120356872,0.46357535220564206,0.00973630831643002,0.0,141.5966482024075,186.31999947958695,41.36825616063379
120.0,61.37236757853435,3.6875,8,ok,1,9.813263120356872,0.47694323033511055,0.018240778273206325,0.0,129.332806449886,229.98030420620708,41.368256160633905
120.0,69.55855136780154,3.6875,8,ok,1,9.813263120356872,0.4914339956324825,0.04050222762251924,0.0,121.25594620946585,305.72726035867043,41.36825616063389
